source,target,num_edges,timestamp
5651,844,23555,1448288399.720893
6948,6652,23554,1448288400.650511
7329,1963,23553,1448288401.588778
7315,2845,23552,1448288402.520240
2004,6378,23551,1448288403.455582
2844,1417,23550,1448288404.386939
1523,922,23549,1448288405.341378
1524,1414,23548,1448288406.281595
2845,2844,23547,1448288407.220135
2967,2845,23546,1448288408.159387
1872,2967,23545,1448288409.111220
6016,5295,23544,1448288410.046125
5295,1326,23543,1448288410.977350
1872,305,23542,1448288411.908514
5815,394,23541,1448288412.857357
2132,668,23540,1448288413.791465
6141,4869,23539,1448288414.730863
7316,3900,23538,1448288415.669725
2845,923,23537,1448288416.623574
1872,306,23536,1448288417.551704
3010,668,23535,1448288418.484108
2132,3621,23534,1448288419.410039
6908,392,23533,1448288420.358806
844,3892,23532,1448288421.294767
3870,2557,23531,1448288422.225848
7139,2247,23530,1448288423.161226
7139,3079,23529,1448288424.108539
137,3940,23528,1448288425.043263
2482,6412,23527,1448288425.976899
2004,6375,23526,1448288426.913318
922,2004,23525,1448288427.865594
6375,1414,23524,1448288428.802295
6592,3938,23523,1448288429.738455
2252,564,23522,1448288430.672084
1872,313,23521,1448288431.622540
2967,305,23520,1448288432.557973
5301,1252,23519,1448288433.488740
7031,5844,23518,1448288434.420107
3938,2252,23517,1448288435.367542
307,137,23516,1448288436.295071
6536,5540,23515,1448288437.223214
5295,3870,23514,1448288438.154260
2967,306,23513,1448288439.109409
1348,5839,23512,1448288440.036142
6254,920,23511,1448288440.960478
1415,1413,23510,1448288441.890749
4956,1099,23509,1448288442.834063
3120,2484,23508,1448288443.761242
813,912,23507,1448288444.695855
3120,813,23506,1448288445.626025
5985,450,23505,1448288446.568829
7112,777,23504,1448288447.496658
6375,1098,23503,1448288448.430310
5562,2602,23502,1448288449.355944
6762,3111,23501,1448288450.305480
3078,3477,23500,1448288451.235450
6748,900,23499,1448288452.168701
1910,678,23498,1448288453.100644
6959,110,23497,1448288454.051068
678,2245,23496,1448288454.979902
841,843,23495,1448288455.916310
3930,3016,23494,1448288456.842246
369,3930,23493,1448288457.786225
369,176,23492,1448288458.712926
5122,4601,23491,1448288459.636994
4601,6337,23490,1448288460.561324
1415,6253,23489,1448288461.504815
501,498,23488,1448288462.430863
3675,352,23487,1448288463.364082
4959,4882,23486,1448288464.294440
3775,5562,23485,1448288465.242678
4599,5122,23484,1448288466.170280
6703,5647,23483,1448288467.099763
5697,6825,23482,1448288468.027811
166,5128,23481,1448288468.981932
3892,843,23480,1448288469.906179
5697,5696,23479,1448288470.837315
6017,5295,23478,1448288471.767267
1326,5540,23477,1448288472.712162
5540,5295,23476,1448288473.634773
2482,167,23475,1448288474.561016
6751,900,23474,1448288475.491370
7329,198,23473,1448288476.436014
6017,838,23472,1448288477.360027
6254,6253,23471,1448288478.283829
6375,1524,23470,1448288479.211366
3551,1961,23469,1448288480.159110
4175,3551,23468,1448288481.086120
5850,5130,23467,1448288482.020673
840,3886,23466,1448288482.948854
5745,5844,23465,1448288483.901729
5699,5696,23464,1448288484.830525
4454,4323,23463,1448288485.759504
6908,3620,23462,1448288486.686082
4757,3676,23461,1448288487.613019
4886,4718,23460,1448288488.562056
6688,953,23459,1448288489.493775
4101,2503,23458,1448288490.418685
4761,4715,23457,1448288491.341771
2839,2838,23456,1448288492.288564
6647,2791,23455,1448288493.212647
1642,768,23454,1448288494.147254
5,4,23453,1448288495.079126
2729,1086,23452,1448288496.021939
4961,624,23451,1448288496.949114
5651,843,23450,1448288497.882921
6420,2247,23449,1448288498.814566
6709,844,23448,1448288499.758922
6337,1010,23447,1448288500.686252
2009,834,23446,1448288501.620241
2727,677,23445,1448288502.549673
2602,1497,23444,1448288503.493245
110,369,23443,1448288504.421592
4959,4454,23442,1448288505.352938
7031,6703,23441,1448288506.282681
839,6337,23440,1448288507.230426
5844,5647,23439,1448288508.155297
5123,5647,23438,1448288509.086257
1956,898,23437,1448288510.017604
4801,4800,23436,1448288510.961385
1960,899,23435,1448288511.890652
6748,2654,23434,1448288512.823102
3937,560,23433,1448288513.753689
6773,3389,23432,1448288514.702175
1935,930,23431,1448288515.625814
6536,2553,23430,1448288516.558067
6971,838,23429,1448288517.485537
5818,2553,23428,1448288518.430199
6536,5341,23427,1448288519.352697
2348,1801,23426,1448288520.284870
826,1951,23425,1448288521.215024
5046,539,23424,1448288522.164503
6749,958,23423,1448288523.093904
2834,2833,23422,1448288524.020601
6773,2451,23421,1448288524.950962
5647,5697,23420,1448288525.898248
7031,5123,23419,1448288526.824400
4957,535,23418,1448288527.751960
