source,target,num_edges,timestamp
839,3886,23555,1448330963.092261
6319,1995,23554,1448330964.036375
1995,4894,23553,1448330964.995155
4894,988,23552,1448330965.942827
5697,7031,23551,1448330966.889659
7031,6825,23550,1448330967.838881
5647,839,23549,1448330968.803062
5702,4605,23548,1448330969.750415
6702,5699,23547,1448330970.700989
5698,5696,23546,1448330971.647896
5699,5698,23545,1448330972.614373
5647,4605,23544,1448330973.559234
7031,5123,23543,1448330974.505600
5698,6824,23542,1448330975.456102
959,904,23541,1448330976.415644
7316,2844,23540,1448330977.361752
1872,306,23539,1448330978.309973
1037,3900,23538,1448330979.256262
792,305,23537,1448330980.221995
1962,7329,23536,1448330981.171105
7329,1963,23535,1448330982.120976
5841,3883,23534,1448330983.071588
7316,3900,23533,1448330984.040176
1037,1872,23532,1448330984.990291
7329,2011,23531,1448330985.942122
6337,5123,23530,1448330986.893409
1872,792,23529,1448330987.865728
6375,1414,23528,1448330988.815889
6254,920,23527,1448330989.769492
6375,6254,23526,1448330990.723041
2004,6375,23525,1448330991.691898
1415,1413,23524,1448330992.638318
6374,1414,23523,1448330993.580036
1523,1524,23522,1448330994.526874
5840,623,23521,1448330995.488015
623,4602,23520,1448330996.436226
1524,1414,23519,1448330997.385460
922,1524,23518,1448330998.330099
6378,6257,23517,1448330999.297610
6705,6423,23516,1448331000.241480
4803,4802,23515,1448331001.190835
5703,5648,23514,1448331002.138694
2014,6700,23513,1448331003.105267
7315,2845,23512,1448331004.052795
1041,6256,23511,1448331004.999779
1041,923,23510,1448331005.946321
2845,923,23509,1448331006.910256
7315,1523,23508,1448331007.850364
1041,7315,23507,1448331008.796677
5926,5924,23506,1448331009.744899
4803,1963,23505,1448331010.710591
4805,4803,23504,1448331011.657723
4803,1962,23503,1448331012.605240
6446,444,23502,1448331013.552586
6446,3833,23501,1448331014.522078
2831,1570,23500,1448331015.470648
2831,1848,23499,1448331016.427995
775,2262,23498,1448331017.374272
776,775,23497,1448331018.341963
2262,776,23496,1448331019.286680
3776,2604,23495,1448331020.231310
3241,2011,23494,1448331021.170471
2246,2013,23493,1448331022.132424
5126,2246,23492,1448331023.077334
5126,835,23491,1448331024.023107
5126,4606,23490,1448331024.971161
3882,835,23489,1448331025.948110
7177,5508,23488,1448331026.903484
6799,5508,23487,1448331027.855999
5508,3094,23486,1448331028.801287
6948,6413,23485,1448331029.762373
3776,444,23484,1448331030.707888
1877,312,23483,1448331031.650037
418,1877,23482,1448331032.597662
6757,1328,23481,1448331033.561964
6312,1918,23480,1448331034.502433
6975,37,23479,1448331035.448904
2727,6335,23478,1448331036.397641
3620,392,23477,1448331037.359529
1848,1639,23476,1448331038.297951
1639,340,23475,1448331039.242848
4601,6337,23474,1448331040.188384
6975,2659,23473,1448331041.153070
5657,5139,23472,1448331042.096078
5139,1281,23471,1448331043.040076
2603,1797,23470,1448331043.987127
3283,3093,23469,1448331044.950991
1797,1639,23468,1448331045.891486
2603,1016,23467,1448331046.832322
1639,1016,23466,1448331047.776919
1849,2727,23465,1448331048.736852
6116,5141,23464,1448331049.684240
6799,5281,23463,1448331050.626282
4614,1281,23462,1448331051.567146
5281,2660,23461,1448331052.513083
3905,4614,23460,1448331053.468932
5862,5810,23459,1448331054.409945
4901,540,23458,1448331055.348253
541,9,23457,1448331056.297633
4901,9,23456,1448331057.254731
1524,541,23455,1448331058.194820
1524,607,23454,1448331059.140251
5023,607,23453,1448331060.078947
7315,6378,23452,1448331061.035413
5143,5140,23451,1448331061.980541
1281,281,23450,1448331062.928869
3117,2912,23449,1448331063.871506
6308,6115,23448,1448331064.832447
5143,6115,23447,1448331065.772954
3981,842,23446,1448331066.712727
6706,841,23445,1448331067.658296
1849,1639,23444,1448331068.616220
283,5659,23443,1448331069.551073
5145,284,23442,1448331070.492255
4793,4341,23441,1448331071.432586
630,167,23440,1448331072.391894
6308,283,23439,1448331073.333096
5145,5063,23438,1448331074.279812
5565,306,23437,1448331075.223982
1545,306,23436,1448331076.182852
2789,776,23435,1448331077.126142
306,1448,23434,1448331078.064847
6309,1283,23433,1448331079.006570
795,6309,23432,1448331079.961130
7316,1037,23431,1448331080.902359
5660,513,23430,1448331081.840061
1455,513,23429,1448331082.788589
5660,1290,23428,1448331083.749555
1283,5145,23427,1448331084.692287
5887,2046,23426,1448331085.633328
6653,2482,23425,1448331086.577663
2482,564,23424,1448331087.535281
3042,2471,23423,1448331088.474305
2649,2202,23422,1448331089.414505
6650,6592,23421,1448331090.356703
3940,6909,23420,1448331091.314372
2084,5057,23419,1448331092.258539
5057,4054,23418,1448331093.194674
5663,3094,23417,1448331094.134991
6909,6411,23416,1448331095.087169
6540,3938,23415,1448331096.030825
5302,869,23414,1448331096.974344
564,6021,23413,1448331097.917152
6356,1096,23412,1448331098.873495
5581,1096,23411,1448331099.808638
5080,738,23410,1448331100.747660
2482,6412,23409,1448331101.685862
3355,1720,23408,1448331102.646962
5142,1282,23407,1448331103.586027
3355,2560,23406,1448331104.522666
6540,3941,23405,1448331105.459780
6909,5302,23404,1448331106.417450
7128,2082,23403,1448331107.354108
6701,3886,23402,1448331108.294669
2202,1953,23401,1448331109.235729
5581,6356,23400,1448331110.191356
3383,2882,23399,1448331111.131287
2261,3383,23398,1448331112.072389
2596,5561,23397,1448331113.007822
2840,2789,23396,1448331113.964663
2789,2364,23395,1448331114.904117
2879,1640,23394,1448331115.840584
2879,2364,23393,1448331116.780611
3304,2271,23392,1448331117.733463
3939,6022,23391,1448331118.668049
625,3886,23390,1448331119.607179
2602,1497,23389,1448331120.550406
5745,5645,23388,1448331121.509886
3883,1010,23387,1448331122.451236
5648,4602,23386,1448331123.390561
5419,5121,23385,1448331124.328340
4600,3080,23384,1448331125.285508
5562,2602,23383,1448331126.222004
5840,1010,23382,1448331127.158686
4807,4599,23381,1448331128.099972
2246,842,23380,1448331129.055440
5840,5419,23379,1448331129.995550
5840,3883,23378,1448331130.931987
5123,839,23377,1448331131.868286
6337,1010,23376,1448331132.824353
5420,2655,23375,1448331133.761584
4599,5122,23374,1448331134.702306
5121,3425,23373,1448331135.645927
5122,4601,23372,1448331136.612798
5745,625,23371,1448331137.547306
5850,5130,23370,1448331138.486223
4927,4711,23369,1448331139.424148
6908,392,23368,1448331140.378591
563,103,23367,1448331141.314482
392,563,23366,1448331142.254492
3620,630,23365,1448331143.194189
5023,1524,23364,1448331144.145981
2012,3939,23363,1448331145.083833
5645,5697,23362,1448331146.025631
6022,5543,23361,1448331146.960048
3885,387,23360,1448331147.917703
5543,2676,23359,1448331148.855918
6820,4172,23358,1448331149.798522
6701,387,23357,1448331150.730995
6701,5990,23356,1448331151.681493
6825,5695,23355,1448331152.615935
6022,6021,23354,1448331153.551844
6712,5130,23353,1448331154.490605
5707,6712,23352,1448331155.444203
4166,4711,23351,1448331156.379584
2165,394,23350,1448331157.317696
2609,2165,23349,1448331158.258591
5063,1289,23348,1448331159.213860
6073,6378,23347,1448331160.148628
2845,2844,23346,1448331161.077447
1037,2844,23345,1448331162.014745
6256,792,23344,1448331162.976637
788,6256,23343,1448331163.915731
2845,1363,23342,1448331164.854906
2913,792,23341,1448331165.795307
1417,1363,23340,1448331166.751947
1545,792,23339,1448331167.690559
2844,306,23338,1448331168.627558
414,6253,23337,1448331169.569424
1494,500,23336,1448331170.525253
5861,503,23335,1448331171.459708
7128,3354,23334,1448331172.391781
3354,2271,23333,1448331173.326977
2136,2082,23332,1448331174.282468
2609,6411,23331,1448331175.213238
2364,2596,23330,1448331176.143871
2331,2271,23329,1448331177.082634
5695,6701,23328,1448331178.025900
6588,137,23327,1448331178.976377
3354,2377,23326,1448331179.909556
5856,2472,23325,1448331180.849469
6654,137,23324,1448331181.782106
5419,5841,23323,1448331182.739633
6699,110,23322,1448331183.678984
6022,2482,23321,1448331184.618859
6378,2845,23320,1448331185.556281
6378,1523,23319,1448331186.506864
6255,6253,23318,1448331187.444408
2004,6378,23317,1448331188.388287
1415,6253,23316,1448331189.328064
6254,6253,23315,1448331190.278828
3981,835,23314,1448331191.215544
4606,835,23313,1448331192.152697
6700,3884,23312,1448331193.083272
7255,2472,23311,1448331194.033573
1953,6297,23310,1448331194.968007
6824,723,23309,1448331195.904207
6702,5698,23308,1448331196.839280
5844,5647,23307,1448331197.792772
6703,5647,23306,1448331198.729206
5697,6825,23305,1448331199.664453
5699,5123,23304,1448331200.604568
6704,557,23303,1448331201.553449
557,840,23302,1448331202.490237
165,101,23301,1448331203.422162
5125,840,23300,1448331204.354869
3892,166,23299,1448331205.305549
6659,2614,23298,1448331206.233917
840,389,23297,1448331207.167777
389,101,23296,1448331208.102235
5647,5697,23295,1448331209.051695
3890,841,23294,1448331209.984029
6704,6707,23293,1448331210.918306
3885,5844,23292,1448331211.846844
6654,2609,23291,1448331212.794789
3885,5645,23290,1448331213.727309
1353,942,23289,1448331214.662919
1353,132,23288,1448331215.598735
625,5645,23287,1448331216.545087
6825,4000,23286,1448331217.480876
3551,953,23285,1448331218.409460
5699,5696,23284,1448331219.343528
2510,723,23283,1448331220.295666
5697,5696,23282,1448331221.229821
5419,3979,23281,1448331222.165064
3742,5047,23280,1448331223.095347
1224,2262,23279,1448331224.046383
3604,1641,23278,1448331224.980031
4000,723,23277,1448331225.912642
6805,2592,23276,1448331226.849400
4802,906,23275,1448331227.797681
4711,4167,23274,1448331228.729353
2834,772,23273,1448331229.661215
3389,2070,23272,1448331230.590472
5070,777,23271,1448331231.541826
7113,5070,23270,1448331232.472036
6773,730,23269,1448331233.406965
2889,2887,23268,1448331234.344732
2889,1310,23267,1448331235.291438
2890,2889,23266,1448331236.222179
4802,4796,23265,1448331237.153587
2887,1012,23264,1448331238.089196
3601,772,23263,1448331239.042670
3389,1310,23262,1448331239.980470
6752,959,23261,1448331240.913737
4797,904,23260,1448331241.846083
6825,5696,23259,1448331242.796989
