source,target,num_edges,timestamp
6413,844,23555,1448158369.775194
2163,844,23554,1448158370.735509
6948,6413,23553,1448158371.675755
166,5128,23552,1448158372.617556
6947,5651,23551,1448158373.561044
6947,3619,23550,1448158374.516166
14,5027,23549,1448158375.457775
6949,3619,23548,1448158376.400171
1872,313,23547,1448158377.339051
5815,394,23546,1448158378.291330
6536,5540,23545,1448158379.229330
1326,5540,23544,1448158380.168344
6016,5295,23543,1448158381.105135
5295,1326,23542,1448158382.059384
5295,3010,23541,1448158382.997932
5295,3870,23540,1448158383.935261
1876,419,23539,1448158384.874851
6017,450,23538,1448158385.829308
6017,5540,23537,1448158386.773468
5540,5295,23536,1448158387.709948
7139,2247,23535,1448158388.651125
307,137,23534,1448158389.605248
7139,3079,23533,1448158390.540221
3078,3477,23532,1448158391.485082
794,740,23531,1448158392.416771
2004,6378,23530,1448158393.371276
41,794,23529,1448158394.307159
3621,668,23528,1448158395.241243
2132,3621,23527,1448158396.181195
6748,900,23526,1448158397.134031
6141,4869,23525,1448158398.070758
1545,1037,23524,1448158399.011692
7329,1497,23523,1448158399.948140
7329,1963,23522,1448158400.910535
2612,6411,23521,1448158401.845911
4869,306,23520,1448158402.796759
1497,198,23519,1448158403.750982
7112,2874,23518,1448158404.719858
5046,4323,23517,1448158405.662123
6947,3892,23516,1448158406.603402
6705,6423,23515,1448158407.540782
2729,1086,23514,1448158408.494678
7,1596,23513,1448158409.433251
1596,539,23512,1448158410.374351
7031,5844,23511,1448158411.314227
1414,922,23510,1448158412.268163
2004,6375,23509,1448158413.203694
2004,1414,23508,1448158414.141013
137,3940,23507,1448158415.083085
6647,2791,23506,1448158416.039381
626,87,23505,1448158416.972631
3293,2016,23504,1448158417.910729
87,2016,23503,1448158418.847328
2016,2485,23502,1448158419.805303
4323,5020,23501,1448158420.740561
7031,6703,23500,1448158421.679833
7315,2845,23499,1448158422.617895
922,1524,23498,1448158423.564208
6378,6257,23497,1448158424.494319
5020,2391,23496,1448158425.430113
2646,3173,23495,1448158426.362428
2844,1417,23494,1448158427.313310
6822,4768,23493,1448158428.245124
3120,2484,23492,1448158429.178175
813,912,23491,1448158430.106799
4701,4295,23490,1448158431.034131
2845,2844,23489,1448158431.989107
6295,1951,23488,1448158432.923627
841,843,23487,1448158433.857129
165,6948,23486,1448158434.795116
6955,3937,23485,1448158435.748132
6959,110,23484,1448158436.679413
5122,4601,23483,1448158437.612907
5480,3191,23482,1448158438.545099
4601,6337,23481,1448158439.498732
3551,1961,23480,1448158440.428005
4175,901,23479,1448158441.363118
4175,2515,23478,1448158442.297510
5697,6825,23477,1448158443.249616
5740,1017,23476,1448158444.183317
2163,843,23475,1448158445.114890
4599,5122,23474,1448158446.052031
5740,896,23473,1448158447.001902
1906,896,23472,1448158447.931230
1957,896,23471,1448158448.868286
