source,target,num_edges,timestamp
2609,137,23555,1448191632.974239
6654,2609,23554,1448191633.914920
605,349,23553,1448191634.845021
392,563,23552,1448191635.766101
563,103,23551,1448191636.686464
167,103,23550,1448191637.629870
392,167,23549,1448191638.556046
4957,4956,23548,1448191639.488535
6256,305,23547,1448191640.409067
2482,630,23546,1448191641.353384
6950,5817,23545,1448191642.276690
6411,2165,23544,1448191643.200786
6588,137,23543,1448191644.128684
6654,169,23542,1448191645.074997
3011,169,23541,1448191646.004553
4264,5585,23540,1448191646.931359
5399,5765,23539,1448191647.858477
5585,4262,23538,1448191648.798034
6129,5585,23537,1448191649.719532
6762,3111,23536,1448191650.645844
4262,3741,23535,1448191651.565951
5332,3975,23534,1448191652.509701
5332,3635,23533,1448191653.436268
2180,1745,23532,1448191654.364765
3890,5125,23531,1448191655.294707
5819,5733,23530,1448191656.241224
6904,5284,23529,1448191657.169869
2530,2472,23528,1448191658.096007
7254,2471,23527,1448191659.014395
7254,2530,23526,1448191659.959548
7202,2530,23525,1448191660.884539
6750,6298,23524,1448191661.810179
1099,6375,23523,1448191662.740329
2410,1488,23522,1448191663.692635
2530,1488,23521,1448191664.620961
7304,2410,23520,1448191665.543056
2651,953,23519,1448191666.459550
6375,1098,23518,1448191667.404098
1495,990,23517,1448191668.332638
6366,1979,23516,1448191669.251829
1415,1413,23515,1448191670.180071
3622,169,23514,1448191671.123127
6588,2165,23513,1448191672.051505
104,169,23512,1448191672.980415
5585,3638,23511,1448191673.908068
841,101,23510,1448191674.847289
3010,1326,23509,1448191675.772698
3108,3741,23508,1448191676.699465
4264,4322,23507,1448191677.627607
6307,282,23506,1448191678.568157
6118,1287,23505,1448191679.496064
6421,3982,23504,1448191680.416144
2010,622,23503,1448191681.343307
5560,1905,23502,1448191682.285299
1221,2916,23501,1448191683.213279
4807,622,23500,1448191684.138356
1088,533,23499,1448191685.058021
171,104,23498,1448191686.003703
668,6411,23497,1448191686.928805
394,6588,23496,1448191687.847957
6653,6650,23495,1448191688.769870
5081,538,23494,1448191689.715674
421,1221,23493,1448191690.647259
5582,1126,23492,1448191691.572680
4038,5765,23491,1448191692.498108
5399,4038,23490,1448191693.416166
5909,79,23489,1448191694.356593
