source,target,num_edges,timestamp
1414,922,23555,1447861645.361317
2004,6378,23554,1447861688.740120
2844,1417,23553,1447861732.529216
2845,2844,23552,1447861774.976236
2967,2845,23551,1447861819.391288
2845,923,23550,1447861862.944423
1910,678,23549,1447861908.101470
2729,1086,23548,1447861951.518510
7112,2874,23547,1447861995.874991
4805,1962,23546,1447862040.416032
6375,1098,23545,1447862085.574580
4805,907,23544,1447862129.782165
1099,6375,23543,1447862173.646879
6773,2451,23542,1447862217.948329
6773,777,23541,1447862263.005737
6752,959,23540,1447862307.031226
6688,953,23539,1447862351.537440
6016,5295,23538,1447862395.246696
2889,774,23537,1447862440.369688
4716,953,23536,1447862483.404837
166,5128,23535,1447862527.170388
5295,1326,23534,1447862570.808948
3870,2557,23533,1447862615.522944
6536,5540,23532,1447862659.396940
5985,450,23531,1447862703.360940
912,450,23530,1447862747.304726
4869,1876,23529,1447862790.724807
1872,313,23528,1447862834.230476
6141,4869,23527,1447862878.280236
1545,1037,23526,1447862922.661489
6971,3680,23525,1447862966.235330
6749,1956,23524,1447863010.524152
2654,898,23523,1447863053.819915
3835,3834,23522,1447863097.282843
4804,678,23521,1447863142.064678
7139,2247,23520,1447863185.972940
4805,4803,23519,1447863229.489417
7139,3079,23518,1447863272.261473
5985,3870,23517,1447863317.435136
565,3680,23516,1447863360.666928
794,740,23515,1447863405.644645
41,794,23514,1447863448.068867
6054,3406,23513,1447863491.360651
7,539,23512,1447863534.771131
2889,1310,23511,1447863578.763216
3078,3477,23510,1447863622.447114
6694,3078,23509,1447863668.013639
1960,899,23508,1447863711.416340
1596,539,23507,1447863753.972141
7316,1417,23506,1447863797.917060
4869,306,23505,1447863842.490954
6694,3477,23504,1447863885.769822
3477,556,23503,1447863928.672578
6694,833,23502,1447863972.957311
1524,1414,23501,1447864017.796554
4959,4882,23500,1447864061.179003
2600,3779,23499,1447864105.262854
4177,4768,23498,1447864149.502489
6959,110,23497,1447864194.558664
4063,2247,23496,1447864238.542638
4959,3675,23495,1447864282.730660
5480,3191,23494,1447864327.444816
3779,2263,23493,1447864371.698194
4956,1099,23492,1447864416.078658
3477,3247,23491,1447864460.132456
1443,1097,23490,1447864503.167869
1872,306,23489,1447864546.469199
3900,4869,23488,1447864589.867802
3120,2484,23487,1447864633.139987
5302,869,23486,1447864676.283196
2163,844,23485,1447864720.102169
6949,3619,23484,1447864762.630784
6947,5651,23483,1447864806.502401
6947,3619,23482,1447864850.338240
2834,2833,23481,1447864895.546149
1474,5505,23480,1447864939.023629
2484,813,23479,1447864981.636853
974,1474,23478,1447865025.554339
6947,3892,23477,1447865070.710426
5506,6888,23476,1447865114.246509
7072,3609,23475,1447865155.893236
1982,72,23474,1447865197.799027
6296,952,23473,1447865242.830858
6360,4885,23472,1447865285.181410
6888,4495,23471,1447865327.856372
6888,686,23470,1447865372.233144
