source,target,num_edges,timestamp
5061,1284,23555,1448071749.150795
1872,306,23554,1448071750.074773
305,2004,23553,1448071750.988928
1597,4951,23552,1448071751.906349
7315,1523,23551,1448071752.818081
2967,1041,23550,1448071753.750879
1037,2844,23549,1448071754.665769
7316,1523,23548,1448071755.582933
923,2844,23547,1448071756.497777
2004,6375,23546,1448071757.431246
1041,923,23545,1448071758.343002
2845,923,23544,1448071759.259254
7315,923,23543,1448071760.172194
2913,313,23542,1448071761.102330
6375,6254,23541,1448071762.017067
2004,1414,23540,1448071762.927636
2004,923,23539,1448071763.836615
6378,6257,23538,1448071764.763687
7095,7093,23537,1448071765.675157
5373,1371,23536,1448071766.588693
5658,1282,23535,1448071767.502595
6307,6117,23534,1448071768.428834
2604,677,23533,1448071769.334675
3904,1371,23532,1448071770.249592
7174,292,23531,1448071771.161860
6117,1288,23530,1448071772.089722
4957,1157,23529,1448071773.004080
4351,3712,23528,1448071773.915160
4954,4446,23527,1448071774.824917
1597,8,23526,1448071775.756646
3712,605,23525,1448071776.668963
2781,1567,23524,1448071777.581775
7104,1950,23523,1448071778.495306
6290,760,23522,1448071779.425749
7093,760,23521,1448071780.337253
6336,2008,23520,1448071781.250826
6336,1662,23519,1448071782.165573
1662,6446,23518,1448071783.093342
6772,1436,23517,1448071784.005534
3945,3785,23516,1448071784.913563
5587,3945,23515,1448071785.827743
6075,5588,23514,1448071786.754278
5588,2395,23513,1448071787.659499
351,5588,23512,1448071788.568507
351,6076,23511,1448071789.476027
4354,6076,23510,1448071790.402775
3785,6075,23509,1448071791.303897
3945,6075,23508,1448071792.212482
6076,6075,23507,1448071793.120099
1730,6076,23506,1448071794.050208
6076,5083,23505,1448071794.961991
5428,1544,23504,1448071795.875693
4164,2391,23503,1448071796.785281
7316,1037,23502,1448071797.712622
5083,1096,23501,1448071798.627167
6774,3838,23500,1448071799.538017
6356,4898,23499,1448071800.448998
6356,1096,23498,1448071801.379153
392,103,23497,1448071802.286116
6651,563,23496,1448071803.195594
2780,1566,23495,1448071804.102946
3824,3767,23494,1448071805.024590
4278,2029,23493,1448071805.930015
5757,2150,23492,1448071806.842148
6908,563,23491,1448071807.754380
4354,5020,23490,1448071808.673892
5001,1505,23489,1448071809.598031
5001,1237,23488,1448071810.509229
1237,5887,23487,1448071811.420118
392,563,23486,1448071812.329751
6908,392,23485,1448071813.253853
1088,4,23484,1448071814.165321
718,2046,23483,1448071815.074439
6770,290,23482,1448071815.980792
2783,2782,23481,1448071816.901647
3784,3191,23480,1448071817.807291
5141,5060,23479,1448071818.718124
2913,291,23478,1448071819.627845
41,190,23477,1448071820.556392
1505,2046,23476,1448071821.467024
4805,4803,23475,1448071822.372599
3776,444,23474,1448071823.282838
3943,3053,23473,1448071824.210361
3783,676,23472,1448071825.121665
6959,555,23471,1448071826.031768
4961,1599,23470,1448071826.938749
292,288,23469,1448071827.863649
5467,5103,23468,1448071828.771055
533,1526,23467,1448071829.684557
2779,1565,23466,1448071830.593478
5001,718,23465,1448071831.518899
1284,795,23464,1448071832.428478
2048,190,23463,1448071833.340508
6451,3472,23462,1448071834.252856
1566,5012,23461,1448071835.176439
2784,339,23460,1448071836.082575
4,1526,23459,1448071836.988790
1088,4953,23458,1448071837.897348
475,294,23457,1448071838.823058
5143,1373,23456,1448071839.729382
5374,740,23455,1448071840.635063
1455,286,23454,1448071841.545981
740,41,23453,1448071842.468563
4869,306,23452,1448071843.376154
5565,2846,23451,1448071844.285035
1545,306,23450,1448071845.191806
7174,293,23449,1448071846.108323
5657,1877,23448,1448071847.016380
3873,6311,23447,1448071847.926556
2048,41,23446,1448071848.838218
41,1542,23445,1448071849.777967
792,313,23444,1448071850.697124
5839,1370,23443,1448071851.611705
1526,5,23442,1448071852.519064
7093,5868,23441,1448071853.444743
7095,5117,23440,1448071854.355117
6333,1950,23439,1448071855.263349
5117,1950,23438,1448071856.168725
5479,3188,23437,1448071857.097794
3824,228,23436,1448071858.009163
6451,5012,23435,1448071858.915385
4805,1962,23434,1448071859.824609
3082,111,23433,1448071860.752935
6411,3009,23432,1448071861.659044
1253,6022,23431,1448071862.568992
2012,1253,23430,1448071863.476319
5125,1253,23429,1448071864.401469
555,110,23428,1448071865.306062
6959,110,23427,1448071866.215181
3930,110,23426,1448071867.122031
4772,2942,23425,1448071868.047409
6591,1253,23424,1448071868.956664
6650,393,23423,1448071869.864876
3659,2456,23422,1448071870.771352
6541,1288,23421,1448071871.694531
5817,3009,23420,1448071872.603103
5817,2610,23419,1448071873.513434
6022,2012,23418,1448071874.418559
532,113,23417,1448071875.339705
3483,112,23416,1448071876.246860
3481,2015,23415,1448071877.152441
179,6420,23414,1448071878.055057
4063,178,23413,1448071878.979894
179,112,23412,1448071879.884990
177,110,23411,1448071880.791786
6457,179,23410,1448071881.696002
3944,2029,23409,1448071882.618554
7104,5117,23408,1448071883.529259
6292,1901,23407,1448071884.436183
3782,3187,23406,1448071885.339200
5250,5160,23405,1448071886.262863
4771,1574,23404,1448071887.170360
6289,1057,23403,1448071888.078374
7047,5160,23402,1448071888.983700
1184,1057,23401,1448071889.907854
7095,6333,23400,1448071890.812802
4838,3862,23399,1448071891.721845
5581,6076,23398,1448071892.627516
2402,1045,23397,1448071893.551242
6771,6059,23396,1448071894.454932
2464,2402,23395,1448071895.363760
1284,1370,23394,1448071896.270708
1878,1373,23393,1448071897.191903
2048,1542,23392,1448071898.097065
41,794,23391,1448071899.002413
5143,5140,23390,1448071899.908228
6141,1545,23389,1448071900.827906
1543,419,23388,1448071901.733056
1876,1543,23387,1448071902.638966
1543,6141,23386,1448071903.545900
419,1371,23385,1448071904.470520
1370,419,23384,1448071905.377646
1546,313,23383,1448071906.286574
6141,1876,23382,1448071907.192883
1876,419,23381,1448071908.112862
6655,4060,23380,1448071909.019297
2132,668,23379,1448071909.925620
3010,2132,23378,1448071910.831653
6016,1326,23377,1448071911.751378
6536,1326,23376,1448071912.657424
5295,1326,23375,1448071913.565547
5295,3010,23374,1448071914.469036
6654,3621,23373,1448071915.387046
6654,3011,23372,1448071916.292326
