source,target,num_edges,timestamp
1489,498,23555,1447861614.058654
5844,5647,23554,1447861650.497076
7031,6703,23553,1447861694.294694
2163,844,23552,1447861737.214426
5697,6825,23551,1447861781.643304
4000,2510,23550,1447861827.627890
4763,2510,23549,1447861874.916690
4764,2938,23548,1447861918.034648
1491,501,23547,1447861960.933585
1099,6375,23546,1447862004.974178
1492,1491,23545,1447862051.955356
5861,503,23544,1447862095.629279
6365,5862,23543,1447862138.423830
1872,306,23542,1447862181.451321
5,4,23541,1447862228.292993
6364,1492,23540,1447862269.586641
4113,2510,23539,1447862313.456591
4000,4113,23538,1447862357.313936
6413,3618,23537,1447862402.537962
7316,3900,23536,1447862447.729823
6413,165,23535,1447862492.782163
165,6948,23534,1447862538.374014
841,843,23533,1447862581.729804
5651,844,23532,1447862623.477368
6948,6413,23531,1447862665.823938
6412,869,23530,1447862709.907399
3892,843,23529,1447862753.742814
6947,166,23528,1447862796.265028
5560,1905,23527,1447862838.706527
5880,5114,23526,1447862881.785136
5695,4891,23525,1447862926.603183
1158,1089,23524,1447862969.880012
6312,1918,23523,1447863012.165994
1994,1493,23522,1447863054.707186
5,1087,23521,1447863099.212808
5880,1905,23520,1447863143.525800
5697,5696,23519,1447863187.206601
5123,5647,23518,1447863230.693223
3937,560,23517,1447863274.603248
1090,534,23516,1447863318.412687
6947,5128,23515,1447863361.695059
6413,844,23514,1447863405.541157
2163,843,23513,1447863451.145361
6836,6833,23512,1447863494.277499
916,109,23511,1447863540.390713
5657,1877,23510,1447863583.897530
5543,3620,23509,1447863630.180985
3620,3618,23508,1447863674.740961
3621,668,23507,1447863719.338904
6144,4817,23506,1447863763.816970
5114,1228,23505,1447863809.309787
4376,4254,23504,1447863852.296203
6364,5861,23503,1447863895.984233
1495,990,23502,1447863939.715259
3290,3105,23501,1447863983.421909
7105,970,23500,1447864026.985278
4254,3975,23499,1447864071.080235
5078,7105,23498,1447864114.856661
6590,5541,23497,1447864159.394170
5078,1585,23496,1447864203.330167
7105,1585,23495,1447864245.825612
3870,2557,23494,1447864290.470582
6971,838,23493,1447864333.966333
3622,2253,23492,1447864376.816139
3010,1326,23491,1447864420.921406
6315,2616,23490,1447864464.959882
5123,839,23489,1447864509.032732
6659,107,23488,1447864551.333325
2132,3621,23487,1447864595.701540
6660,6956,23486,1447864639.371714
5647,5697,23485,1447864686.693920
4175,3551,23484,1447864730.328250
2612,838,23483,1447864774.149896
2132,1326,23482,1447864818.007831
6536,5540,23481,1447864860.928670
6017,3680,23480,1447864903.308764
5815,394,23479,1447864945.987624
307,5295,23478,1447864988.684773
668,307,23477,1447865033.058902
1155,1091,23476,1447865075.302427
6375,1098,23475,1447865120.896615
4612,417,23474,1447865163.562705
3890,841,23473,1447865206.744064
1412,918,23472,1447865249.006512
1923,1413,23471,1447865292.834476
4356,4355,23470,1447865336.460620
5295,3010,23469,1447865380.054604
4060,838,23468,1447865423.511350
