source,target,num_edges,timestamp
2163,844,23555,1447819136.182362
2482,6412,23554,1447819144.392772
6413,3618,23553,1447819153.440593
305,2004,23552,1447819162.192691
5697,6825,23551,1447819170.863289
1872,306,23550,1447819178.871225
4000,2510,23549,1447819187.633489
6825,4000,23548,1447819196.322143
3010,668,23547,1447819205.389925
3010,2132,23546,1447819214.363147
841,843,23545,1447819223.400021
5125,1253,23544,1447819232.808886
2132,1326,23543,1447819241.550036
165,101,23542,1447819250.155438
3551,953,23541,1447819259.192828
1099,6375,23540,1447819268.478002
1489,498,23539,1447819277.100623
5844,5647,23538,1447819286.055300
7031,6703,23537,1447819294.671935
6703,3886,23536,1447819303.923952
1087,4,23535,1447819313.436588
5560,1905,23534,1447819321.151820
5880,1905,23533,1447819329.874331
307,137,23532,1447819339.091700
7031,5123,23531,1447819347.197912
5302,869,23530,1447819355.450644
5564,2616,23529,1447819363.022993
2609,6411,23528,1447819370.339615
1088,1087,23527,1447819377.955762
1994,1492,23526,1447819386.230157
6591,1253,23525,1447819394.761399
2163,101,23524,1447819401.917057
841,2163,23523,1447819409.244468
3105,5331,23522,1447819418.108471
7105,970,23521,1447819426.994137
5114,1228,23520,1447819436.492203
6017,3680,23519,1447819445.122976
5078,7105,23518,1447819453.872316
6312,504,23517,1447819462.261678
5701,5125,23516,1447819471.533677
6144,5707,23515,1447819480.401685
6375,1098,23514,1447819490.001349
5,4,23513,1447819498.086259
4961,1526,23512,1447819507.170452
4961,1599,23511,1447819515.637355
1253,165,23510,1447819523.885972
5078,1585,23509,1447819531.131835
7105,1585,23508,1447819540.091944
6750,956,23507,1447819549.102403
5565,2907,23506,1447819558.089217
7316,3900,23505,1447819566.641154
4869,306,23504,1447819574.690216
6256,305,23503,1447819583.307547
6340,5023,23502,1447819592.192877
1923,920,23501,1447819600.860900
2534,1495,23500,1447819609.601394
1877,312,23499,1447819618.274257
7202,2472,23498,1447819627.226082
6020,5125,23497,1447819635.942007
2557,6762,23496,1447819644.569893
6688,953,23495,1447819653.674700
4716,953,23494,1447819662.403824
4957,535,23493,1447819671.068778
1415,1413,23492,1447819680.181611
5657,1877,23491,1447819689.262643
6423,836,23490,1447819701.061444
2557,912,23489,1447819709.894179
6971,838,23488,1447819718.005217
3622,2253,23487,1447819725.929552
4060,838,23486,1447819734.281097
6016,1326,23485,1447819741.485231
3870,2557,23484,1447819748.117419
2612,838,23483,1447819757.043748
6952,105,23482,1447819764.813664
6971,565,23481,1447819770.774851
4060,2253,23480,1447819779.643246
5295,3870,23479,1447819788.516068
3986,104,23478,1447819796.499257
3992,3552,23477,1447819804.980920
5856,1325,23476,1447819812.789286
6821,4172,23475,1447819820.548777
7188,2511,23474,1447819826.885237
6326,5144,23473,1447819833.800442
2971,926,23472,1447819842.331267
1930,1929,23471,1447819851.750014
4108,3993,23470,1447819861.370015
417,5656,23469,1447819868.536285
3680,838,23468,1447819876.206980
4060,104,23467,1447819884.424829
4108,3992,23466,1447819891.809680
5707,7306,23465,1447819900.801561
5818,5733,23464,1447819909.731991
5881,954,23463,1447819918.583001
2876,2875,23462,1447819925.573943
2835,1853,23461,1447819934.381422
1814,2837,23460,1447819942.790661
