source,target,num_edges,timestamp
6374,1099,23555,1448083533.059888
6375,1414,23554,1448083533.977078
5586,4346,23553,1448083534.912730
1037,2844,23552,1448083535.838636
2846,2844,23551,1448083536.762322
7316,1037,23550,1448083537.691488
6374,1524,23549,1448083538.631200
5586,5023,23548,1448083539.556206
2004,6375,23547,1448083540.480575
1414,922,23546,1448083541.404740
922,1524,23545,1448083542.346158
1414,923,23544,1448083543.273365
2004,1414,23543,1448083544.199632
1523,1524,23542,1448083545.124364
6375,6254,23541,1448083546.062765
6375,920,23540,1448083546.981780
6378,6257,23539,1448083547.900975
1041,2004,23538,1448083548.822287
2004,923,23537,1448083549.761628
2845,2844,23536,1448083550.682100
4349,1520,23535,1448083551.605355
6124,1302,23534,1448083552.529829
1728,1521,23533,1448083553.466537
2604,677,23532,1448083554.387977
6340,8,23531,1448083555.310861
6256,305,23530,1448083556.230864
4869,306,23529,1448083557.168053
793,313,23528,1448083558.087465
2451,1796,23527,1448083559.003541
3323,1796,23526,1448083559.923667
6651,563,23525,1448083560.858224
6141,1545,23524,1448083561.780649
4869,4688,23523,1448083562.700346
5565,2846,23522,1448083563.621660
5565,5502,23521,1448083564.557715
3599,1795,23520,1448083565.480681
2448,1792,23519,1448083566.398254
6307,282,23518,1448083567.318700
1846,1634,23517,1448083568.256023
2449,2448,23516,1448083569.179651
6411,3009,23515,1448083570.099448
3011,169,23514,1448083571.018877
5143,283,23513,1448083571.953703
6308,5143,23512,1448083572.872740
6966,6965,23511,1448083573.792070
6966,881,23510,1448083574.711405
5978,660,23509,1448083575.648160
6308,5659,23508,1448083576.572496
6965,879,23507,1448083577.492399
6966,5978,23506,1448083578.416918
7295,4942,23505,1448083579.355421
5623,315,23504,1448083580.274299
4953,4,23503,1448083581.192741
5142,1282,23502,1448083582.113650
6126,1693,23501,1448083583.047303
6335,3775,23500,1448083583.967706
1088,4953,23499,1448083584.885806
7095,6333,23498,1448083585.798585
6304,6303,23497,1448083586.737484
6290,760,23496,1448083587.657834
7093,760,23495,1448083588.576071
3592,1197,23494,1448083589.491901
3465,3376,23493,1448083590.427279
3743,2706,23492,1448083591.344726
3593,1840,23491,1448083592.267352
6304,4690,23490,1448083593.186484
6310,6117,23489,1448083594.123464
5759,3806,23488,1448083595.039492
7095,5117,23487,1448083595.957481
1950,948,23486,1448083596.876970
7095,6289,23485,1448083597.812821
5117,6291,23484,1448083598.727157
6289,1899,23483,1448083599.640973
4354,351,23482,1448083600.561211
4265,3743,23481,1448083601.499516
2916,2885,23480,1448083602.417166
1899,7095,23479,1448083603.336516
