source,target,num_edges,timestamp
305,2004,23555,1447861630.277901
1872,306,23554,1447861671.705573
6257,1417,23553,1447861717.316511
6908,392,23552,1447861759.111991
7316,3900,23551,1447861803.164273
6423,6421,23550,1447861847.940991
6421,3982,23549,1447861893.274433
6908,563,23548,1447861935.836515
3621,668,23547,1447861978.758708
2132,3621,23546,1447862022.974916
5698,5696,23545,1447862067.370912
6702,5699,23544,1447862109.842246
6908,3620,23543,1447862152.598746
5699,5698,23542,1447862196.132284
5698,6825,23541,1447862239.481366
4000,2510,23540,1447862282.380575
2482,6412,23539,1447862325.809150
5295,3870,23538,1447862368.684493
6651,563,23537,1447862412.380381
1157,1092,23536,1447862454.871092
3870,3680,23535,1447862497.425272
4000,4113,23534,1447862540.881732
4957,4956,23533,1447862582.537201
7188,2511,23532,1447862623.720285
3082,111,23531,1447862667.070346
6820,4889,23530,1447862710.741402
4172,3994,23529,1447862756.328543
2510,723,23528,1447862799.033432
6824,723,23527,1447862841.791888
5698,723,23526,1447862885.080283
6412,869,23525,1447862929.103105
6688,953,23524,1447862971.752837
1922,1413,23523,1447863014.814608
1157,4952,23522,1447863057.729350
6652,3619,23521,1447863100.070876
1664,562,23520,1447863141.410451
5420,6961,23519,1447863184.407250
957,6754,23518,1447863226.492032
2004,6375,23517,1447863271.654019
6326,5144,23516,1447863316.184134
2971,926,23515,1447863358.778475
1930,1929,23514,1447863402.320766
2453,1025,23513,1447863446.628612
5146,285,23512,1447863488.887357
5552,1622,23511,1447863533.390233
537,8,23510,1447863575.554347
1928,6722,23509,1447863620.413538
6361,4716,23508,1447863663.586860
6054,2048,23507,1447863706.485291
3406,2048,23506,1447863749.930829
6654,2609,23505,1447863796.223236
3105,5331,23504,1447863839.914114
6840,1934,23503,1447863882.891673
715,3649,23502,1447863926.463210
834,369,23501,1447863971.363799
5420,2655,23500,1447864014.561023
3424,369,23499,1447864056.971211
5078,3649,23498,1447864101.452366
3120,2484,23497,1447864145.231616
5082,4353,23496,1447864188.073066
