,lat,lon,taxable_value,grocery,restaurant,retail,ncrimes,sgnf,avg_hh_size,population,walkscore
1833,37.7545835,-122.4899294,-0.0331153327809,-0.288961856118,0.00261197807594,-0.553777013454,-0.534797890066,1.334397837,1.28369516803,0.60831228932,0.283506727143
1834,37.7506033,-122.4953355,-0.0740816198517,-0.603942888316,-0.586203789268,-0.668656593835,-0.55808673914,-1.14555355271,0.31418377594,0.421281020584,-0.319248873003
1835,37.7468976,-122.4944659,-0.094663216612,-0.614020454422,-0.579605588995,-0.674011162256,-0.559012474129,-0.950574306188,0.327791992783,0.3288448197,-0.789483577396
1836,37.7507551,-122.4918147,-0.123317063672,-0.545422468957,-0.545240236397,-0.639778180437,-0.558828833568,0.852265330556,0.922369866859,0.49693835735,-0.0633067263215
1837,37.7546329,-122.4888584,-0.0296908797808,-0.22507688402,0.189489343851,-0.538602610624,-0.525855007815,1.24002948441,1.36341672381,0.633027100281,0.181815584688
1838,37.7509939,-122.4864552,-0.110320575263,-0.543337178694,-0.553510951193,-0.561651958933,-0.540275650795,0.955953698739,1.47941913092,0.5939847878,-0.233179543806
1839,37.749034,-122.488466,-0.115778120279,-0.552856689992,-0.572236559864,-0.59920117084,-0.549428390108,1.2625467113,1.43042360561,0.532525697517,-0.519216298639
1840,37.7472635,-122.486195,-0.0973309068677,-0.593150354541,-0.517926385779,-0.555122216206,-0.535741279015,1.31610951447,1.55667981555,0.473021990832,-0.321182756424
1841,37.7453994,-122.4860655,-0.0851528839808,-0.591139338073,-0.301661844594,-0.522783436521,-0.525041148812,1.31343409074,1.58232164658,0.387505194552,-0.0256602252625
1842,37.7413044,-122.4940748,-0.0661499030382,-0.575408359607,-0.564622137452,-0.620417402989,-0.547875175197,-0.620270509136,0.405480279325,0.0440686953726,-0.238940532602
1843,37.7352786,-122.4939551,-0.0557889677664,-0.544959007483,-0.57807528535,-0.637618836815,-0.565899822343,-0.992277933114,-0.236382751075,-0.516827716617,-0.669755586518
1844,37.7524348,-122.4682578,0.0769879732446,-0.637867669883,-0.583087782448,-0.675610937685,-0.577719835811,0.590304485562,0.600843145577,-0.266602249047,-1.71934762067
1845,37.7540636,-122.4682472,0.0622041782352,-0.656312231398,-0.583814210031,-0.650315280512,-0.57169363053,0.429775258753,0.498854040266,-0.148164413082,-1.37601313882
1846,37.7537578,-122.4661316,0.0961088453942,-0.622048682692,-0.584953754969,-0.671706970731,-0.570320856764,0.949669431926,0.595594356187,-0.189669089062,-1.14039513568
1847,37.7473569,-122.4649896,0.300396351218,-0.556091013052,-0.581131456934,-0.702353967147,-0.588425694209,0.501848808006,0.74053061771,-0.75996850651,-1.0629687683
1848,37.7549652,-122.4595052,-0.02417374779,-0.650715893247,-0.5835519237,-0.72578648126,-0.561751702102,0.604562833998,0.480449183004,-0.201108080444,-1.9995633978
1849,37.7538245,-122.4588785,0.0147607363724,-0.66788640138,-0.579271551257,-0.755474971268,-0.566382640411,0.704534696444,0.44520554768,-0.324120062198,-1.67050840086
1850,37.7515608,-122.4639981,0.241581101253,-0.631301487078,-0.58087277111,-0.735440705129,-0.586178038081,0.606885915823,0.679105085618,-0.461850890616,-2.06737258006
