cat,taxable_value,grocery,restaurant,retail,ncrimes,sgnf,avg_hh_size,population,walkscore
young_f,,,,,,,,,
young_m,,,,,,,,,
thirtysomething_f,,,,,,,,,
thirtysomething_m,,,,,,,,,
couple_young_kids,,,,,,,,,
couple_older_kids,,,,,,,,,
mature_couple,,,,,,,,,
mature_f,,,,,,,,,
mature_m,,,,,,,,,
